,producer_name,product_name,description,full_name,critic_score
0,Domaine Leroy,Richebourg Grand Cru,"A rare disappointment from an estate that, at its best, produces what I consider to be the world's greatest wines, the 2009 Richebourg Grand Cru is rich and exotic but dominated by rather planky new oak. What went wrong?",2009 Domaine Leroy Richebourg Grand Cru,RP 88
1,Domaine Leroy,Richebourg Grand Cru,"Lalou Bize-Leroy's 2001 Richebourg Grand Cru is drinking brilliantly, entirely transcending early estimates of the vintage's quality. Soaring from the glass with a captivating bouquet of wilted rose petals, peonies, exotic spices, sweet red berries, plums and vine smoke, it's full-bodied, satiny and sensual, with an enveloping core of vibrant fruit, melting tannins and a long, pungently perfumed finish. It's at the beginning of a glorious plateau of maturity.",2001 Domaine Leroy Richebourg Grand Cru,RP 88
2,Domaine Leroy,Corton-Charlemagne Grand Cru,"The 1997 Corton-Charlemagne Grand Cru is a brilliant effort in this ultimately somewhat underrated white Burgundy vintage. Offering up a complex bouquet of crisp orchard fruit, mandarin, confit lemon, wheat toast, iodine and nicely integrated reduction, it's medium to full-bodied, deep and chiseled, with good concentration and chalky structuring extract. While it isn't as overtly muscular as some vintages of this bottling, it's pure, vibrant and drinking beautifully today.",1997 Domaine Leroy Corton-Charlemagne Grand Cru,RP 88
3,Domaine Leroy,Chambolle-Musigny 1er Cru Les Charmes,"Leroy's 2011 Chambolle-Musigny 1er Cru Les Charmes is exquisitely elegant and refined in this vintage, unfurling in the glass with notions of raspberries and plums mingled with hints of exotic spices, potpourri, loamy soil and musk. Medium to full-bodied, seamless and sensual, with melting tannins and an ample core of concentrated fruit, it's only just entering its drinking window.",2011 Domaine Leroy Chambolle-Musigny 1er Cru Les Charmes,RP 88
4,Domaine Leroy,Chambertin Grand Cru,"The 2019 Chambertin Grand Cru continues this cuvée's extraordinary run of success. Unwinding in the glass with rich aromas of plums and berries mingled with orange rind, black truffles, dark chocolate, violets and spices, it's full-bodied, multidimensional and complete, with a deep and layered core, lively acids and a long, resonant finish. This is another monument in the making from Lalou Bize-Leroy.",2019 Domaine Leroy Chambertin Grand Cru,RP 88
5,Domaine Leroy,Musigny Grand Cru,"The 2019 Musigny Grand Cru more than met my lofty expectations. Unfurling in the glass with aromas of raspberries and blood orange mingled with floral notes of peonies, rose and violet petals, alongside notions of incense and Indian spices, its full-bodied, deep and seamless, displaying immense concentration and exquisitely refined tannins and concluding with a long, saline, rose-inflected finish. Bize-Leroy describes tasting a glass as ""like falling into a well,"" a description so evocative that it risks making my commentary redundant.",2019 Domaine Leroy Musigny Grand Cru,RP 88
6,Domaine Leroy,Romanée-Saint-Vivant Grand Cru,"The 2019 Romanée-Saint-Vivant Grand Cru is another spectacular rendition of this routinely profound cuvée. Wafting from the glass with aromas of raspberries, cherries, rose petals, peonies, violets, incense, orange oil and exotic spices, it's full-bodied, ample and enveloping, with a broad attack and a layered, multidimensional mid-palate. Seamless and complete, it's a sensual, intensely perfumed wine that ranks among Lalou Bize-Leroy's greatest achievements to date.",2019 Domaine Leroy Romanée-Saint-Vivant Grand Cru,RP 88
7,Domaine Leroy,Latricières-Chambertin Grand Cru,"The 2019 Latricières-Chambertin Grand Cru is especially striking this year. Offering up aromas of wild berries, peonies, exotic spices, coniferous forest floor, orange rind and violets, it's full-bodied, vibrant and multidimensional, with a concentrated core of fruit and an incisive, penetrating profile. Elegant and precise, it's one of the most refined wines in the cellar.",2019 Domaine Leroy Latricières-Chambertin Grand Cru,RP 88
8,Domaine Leroy,Richebourg Grand Cru,"The fireworks continue with the 2019 Richebourg Grand Cru, a striking wine that unfurls in the glass with aromas of raspberries, blackberries and plums mingled with exotic spices, dark chocolate, orange rind and peonies. Full-bodied, rich and muscular, it's deep and broad-shouldered, its ample core of fruit framed by prodigious reserves of ripe, powdery tannin and lively girdling acids. Impeccably balanced and built for the long haul, it will demand—and amply reward—patience.",2019 Domaine Leroy Richebourg Grand Cru,RP 88
9,Domaine Leroy,Vosne-Romanée 1er Cru Les Beaux Monts,"A more than worthy follow-up to the profound 2018, Leroy's striking 2019 Vosne-Romanée 1er Cru Les Beaux Monts unwinds in the glass with aromas of inky berry fruit, cassis, sweet spices, smoked duck, rich soil tones, orange oil and incense. Full-bodied, velvety and concentrated, it's seamless and multidimensional, with lively acids, velvety tannins and a long, penetrating finish. This is less demonstrative than the extroverted Brûlées, but it's even deeper and more incipiently complex.",2019 Domaine Leroy Vosne-Romanée 1er Cru Les Beaux Monts,RP 88
10,Domaine Leroy,Chambolle-Musigny 1er Cru Les Charmes,"The 2019 Chambolle-Musigny 1er Cru Les Charmes is extraordinary, unfurling in the glass with scents of raspberries, plums and pomegranate mingled with rose petals, orange oil and exotic spices. Medium to full-bodied, layered and multidimensional, it's concentrated and tightly wound, with beautifully refined tannins, lively acids and a long, saline finish. As usual, it's one of the high points of the range.",2019 Domaine Leroy Chambolle-Musigny 1er Cru Les Charmes,RP 88
11,Domaine Leroy,Clos de Vougeot Grand Cru,"Aromas of cassis, incense, orange rind, exotic spices and classy new oak introduce Leroy's 2019 Clos de Vougeot Grand Cru, a full-bodied, rich and multidimensional wine that's concentrated and powerful, with a tightly wound core of fruit, powdery tannins, vibrant acids and a long, penetrating finish. If anything, this is one 2019 that's more youthfully reserved than its 2018 counterpart was at the same stage. This will require patience, but it's a monument in the making.",2019 Domaine Leroy Clos de Vougeot Grand Cru,RP 88
12,Domaine Leroy,Corton-Renardes Grand Cru,"Leroy's brilliant 2019 Corton-Renardes Grand Cru unfurls in the glass with aromas of orange oil, raspberries and cherries mingled with rose petals, rich spices and sweet soil tones. Full-bodied, layered and multidimensional, it's deep and concentrated, with velvety tannins, lively acids and a long, perfumed finish.",2019 Domaine Leroy Corton-Renardes Grand Cru,RP 88
