,producer_name,product_name,description,full_name,critic_score
0,Moret Nominee,Puligny-Montrachet 1er Cru Les Folatières,"The 2012 Puligny-Montrachet 1er Cru Les Folatieres is much more complex on the nose than the village cru: citrus lemon, flint and a touch of quince that is brimming over with energy, with a light marine elements emerging with time. The palate is vibrant and engaging with hazelnut and oyster shell informing the finish that is precise and long. Excellent. Drink 2014-2025.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Puligny-Montrachet 1er Cru Les Folatières,RP 92
1,Moret Nominee,Meursault 1er Cru Les Perrières,"The 2012 Meursault 1er Cru Les Perrieres, which sees 40% new oak, has an appealing, quite intense bouquet with fresh lime and quince, well integrated oak and distant scents of limestone leading you to this exact premier cru vineyard. The palate is taut and crisp on the entry. The acidity is well judged, rendering this a poised wine with a flourish of lemongrass on the confident and long finish. This is a very commendable Les Perrieres and its harmony and persistency suggests that will repay cellaring. Drink now-2025. 

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Meursault 1er Cru Les Perrières,RP 92
2,Moret Nominee,Meursault 1er Cru Genevrières,"The 2012 Meursault 1er Cru Les Genevrieres offers hints of almond and white peach on the nose, later lime cordial as it begins to motor. The palate is fresh and vigorous on the entry with touches of bitter lemon and quince. This Meursault is crisp and taut with a long, languorous finish and thus represents one of David’s best offerings in 2012. Drink now-2022.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Meursault 1er Cru Genevrières,RP 92
3,Moret Nominee,Rully Village,"The 2012 Rully Village has a fragrant bouquet with lime flower and white peach aromas gently wafting from the glass. The aromatics are nicely focused. The palate is well-balanced and packed full of flavor. There is a fine thread of acidity here, coupled with a vibrant citric finish that rounds everything off nicely. This is a well-crafted Rully. Drink now-2017.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Rully Village,RP 92
4,Moret Nominee,Saint-Romain Village,"The 2012 Saint Romain Village is more floral than the Rully Village with scents of orange blossom and lemon zest that is well-defined and composed. The palate is fresh and vibrant on the entry and it displays good extraction, with more body and volume than other 2012 Saint Romain. It finishes in satisfying fashion with a fresh spicy finish determined to make a positive impression...and it certainly does. Recommended at this price. Drink now-2020.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Saint-Romain Village,RP 92
5,Moret Nominee,Meursault Les Narvaux,"The 2012 Meursault Narvaux is adorned with a crisp, mineral-driven bouquet, complemented by subtle notes of orange peel and white peach. This is fresh and vigorous. The palate is well-balanced with a crisp line of acidity, notes of quince and ginger infusing the citrus fruit, which then eases down a few gears to a sedate finish. Drink now-2018.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Meursault Les Narvaux,RP 92
6,Moret Nominee,Meursault Sous La Velle,"The 2012 Meursault Sous la Velle has a light, petrol-tinged nose with mandarin and quince following after, the kind of bouquet you want to keep dunking your nose into. The palate has a hint of blackberry leaf on the entry and dried honey suggesting good ripeness at time of picking. With admirable length, this is a competent, appealing Meursault. Drink now-2019.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Meursault Sous La Velle,RP 92
7,Moret Nominee,Meursault 1er Cru Les Charmes,"The 2012 Meursault 1er Cru Les Charmes has an engaging bouquet with grilled walnut, nettle and light almond scents unfolding in the glass. The palate does not quite meet the promise of the aromatics – but it is not far off. It is graced with attractive orange zest and bitter lemon notes, broadening out nicely on the satisfying, very “Charmes” finish. Very fine. Drink now-2020.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Meursault 1er Cru Les Charmes,RP 92
8,Moret Nominee,Puligny-Montrachet Village,"The 2012 Puligny-Montrachet Village has an attractive bouquet with scents of tangerine, fresh apricot and minerals that evinces both focus and delineation. The palate is fresh on the entry. For a village cru, this boasts good weight in the mouth, although the muffled finish just shaves off a couple of points. Drink now-2017.  

I was unfamiliar with the wines of David Moret until I chanced upon bottled 2012s in London. His first two wines in the line-up, the Rully and Saint Romain Village, were both exemplary for their respective appellations and subsequent crus went some way in justifying their not inexpensive price tags. David works out of his winery in Beaune and actually began his career selling winery equipment, the perfect way to introduce himself to local vignerons. By the late 1990s he was acquiring his first barrels. Since then he has purchased grapes that are always sourced from the same parcels of vine. New oak is used prudently, around 20% for the premier crus in order to express their terroirs, which they do with some style.

Importer: no known US importer but available through Liberty Wines in the UK.",2012 David Moret Puligny-Montrachet Village,RP 92
9,Oratoire Chanson,Richebourg Grand Cru,"The 1947 Richebourg Grand Cru starts out a touch wild and leathery, exhibiting some volatile phenols, but integrates surprisingly well in the glass to reveal aromas of rich red fruits and spices as well. Medium to full-bodied, impressively youthful and integrated, it's supple and seamless; it's just let down by the brettanomyces.",1947 Chanson Père & Fils Richebourg Grand Cru,RP 89
