,producer_name,product_name,description,vintage_full_name,critic_score
0,Prieure Roch,Nuits-Saint-Georges 1er Cru Vieilles Vignes,"Prieuré-Roche's 2015 Nuits-Saint-Georges 1er Cru Vieilles Vignes is showing very well, bursting from the glass with a captivating bouquet of rose petals, peonies, cinnamon and raspberries. On the palate, the wine is medium to full-bodied, velvety and layered, its considerable endowment of fine tannin largely concealed by its ample core of succulent fruit, concluding with a long and precise finish.",,RP 93
1,Prieure Roch,Vosne-Romanée 1er Cru Les Suchots,"The 2005 Vosne-Romanée 1er Cru Les Suchots is showing very well, wafting from the glass with a complex aromatic mélange of dark berry fruit, orange rind, peonies, cinnamon, smoked meats and rich spices that are framed by a nicely integrated application of new oak and strongly recall the wines of the Domaine de la Romanée-Conti. On the palate, it's medium to full-bodied, fleshy and muscular, with powdery tannins that assert themselves more and more prominently the longer the wine sits in the glass, good concentration at the core and ripe but lively acids. This Suchots is still a few years away from attaining its plenitude, but its quality is already apparent.",,RP 93
2,Prieure Roch,Vosne-Romanée Hautes-Maizières,"The 2011 Vosne-Romanée Hautes-Maizières offers lovely rustic red cherry and black plum scents on the nose, a touch of Earl Grey tea developing in the glass, all with impressive delineation. The palate is lifted on the entry with a slight biscuit-like note infusing the red fruit. Tart red cherries, brown spices, a touch of cooked meat towards the finish complete this well-crafted Vosne-Romanée that should give several years drinking pleasure. Tasted September 2016.",,RP 93
3,Prieure Roch,"Bourgogne ""Pinoterie""","The 2011 Bourgogne ""Pinoterie"" comes from naughty berries that detached themselves from the stems on the sorting table, Prieuré-Roch being militant about their whole bunch vinification. These are collected together from the domaine's holdings and blended to form this cuvée. It has a brisk, slightly leafy bouquet (in fact, you might think a few stems found their way into the vat!). The palate is well balanced with light tannin, an easy-drinking Pinot Noir with tart red cherries, tapering towards a light finish. Tasted September 2016.",,RP 93
4,Prieure Roch,Vosne-Romanée Hautes-Maizières,"Tasted blind in Hong Kong, the Vosne-Romanée Haut Maizières 1999 is a deeply impressive wine from Domaine Prieure-Roch, especially considering this is not a premier cru vineyard. It has a dense redcurrant, raspberry and crushed rose-petal bouquet that is quite backward considering that it already has 15 years or so in bottle. The palate is powerful, quite muscular at first with a fine line of acidity and then with aeration it achieves more and more finesse, especially on the multilayered and pure finish. It actually deserves another three or four years in bottle. Wow.",,RP 93
5,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 2009 Vosne-Romanee Le Clos Goillotte is a ridiculously fine village cru for the vintage. It has a cohesive and focused bouquet with smoke, sea salt and a scent of bracken that lends real personality. After 10-15 minutes, it develops a slight graphite note that lends it masculinity. The palate is medium-bodied with a sensual opening that belies what are very fine tannins. The acidity here is extremely well-judged with a lovely dash of spice toward the peacock tail finish. After one hour, this wine is really opening with panache and style, so I recommend a couple of hours decanting or further bottle age. Wonderful. Drink 2016-2026.  Tasted May 2014.",,RP 93
6,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 2008 Vosne-Romanee Le Clos Goillotte is a little lean and herbaceous on the nose and already shows some age on the rim. There is a slight vegetal tincture that becomes less prominent with aeration. The palate is medium-bodied with soft, fleshy fruit, but it is missing some depth and structure toward the seaweed-tinged finish. This was a curious showing. Drink now-2017.  Tasted May 2014.",,RP 93
7,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 2007 Vosne-Romanee Le Clos Goillotte initially has what you might describe as a funky nose, slightly bretty at first, although that seems to clear with an hour in the glass to reveal some ripe Morello cherry and wild strawberry scents. There is also a stemminess in situ, although that ebbs away with aeration. The palate is medium-bodied with fine crisp tannins – a structured Le Clos Goillotte with more matiere than the previous vintage. This improves in the glass and evolves a lovely cohesive ferrous finish. This is very fine, but I would give it another two years in bottle. Drink 2016-2026+.  Tasted May 2014.",,RP 93
8,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 2006 Vosne-Romanee Le Clos Goillotte has a slightly diffuse and leathery bouquet that compared to other vintages seems rather dour. The palate is tart on the entry with slightly rasping acidity, foursquare and masculine, and lacking a little substance for the first hour or so, although returning later it does coalesce and gain more weight. This is a mercurial Le Clos Goillotte that changes dramatically in the glass but never reaches the heights of other vintages. Drink now-2018.  Tasted May 2014.",,RP 93
9,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 2005 Vosne-Romanee Le Clos Goillotte has a deep purple hue. The nose offers attractive dark cherries, red plum and a touch of sous-bois, a marine influence becoming more prominent with aeration. The palate is medium-bodied with pure cranberry and cassis notes on the entry, tobacco just tangible underneath. There is good structure here although, like many 2005s, the wine remains backward, and is missing a little persistency on the finish. Returning after 30 minutes there is an attractive bacon fat/Italian cured meat note infusing the aromatics and it seems to stretch its wings and manifest more vigor. This is a lovely 2005 Vosne-Romanee but afford it an hour’s decanting. Drink now-2020.  Tasted May 2014.",,RP 93
10,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"Served from magnum, the 2001 Vosne-Romanee Le Clos Goillotte is a very commendable wine for the vintage. It has an attractive fungal, sous-bois-scented bouquet with a touch of blueberry and wild mint. After 13 years, this is still fresh and has a pleasing purity. The palate is medium-bodied with supple tannins and crisp acidity, with bitter red cherries defining the finish. What a splendid wine for the vintage. Drink now-2019.  Tasted May 2014.",,RP 93
11,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 2000 Vosne-Romanee Le Clos Goillotte has a slightly bretty nose with sous-bois and Provencal herbs dominating, later some wild fennel and broom. The palate is showing a touch of underripeness and there is some volatile acidity masking the finish. This feels as if it would have been better several years ago, but here it is clearly surpassed by the 2001. Drink now. Tasted May 2014.",,RP 93
12,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"Tasted from magnum, the 1999 Vosne-Romanee Le Clos Goillotte is initially a little scrawny both on the nose and the palate, but don’t be fooled – it’s just toying with you. Observing the wine over two hours, it coalesces on the nose with scents of red berries, iron rust, chestnut and Provencal herbs – fully mature but divine. The palate similarly seems to be at its peak, but there is certainly good substance here with marmalade, bay leaf and leather infusing the degraded red fruit. There is something autumnal about this Clos Goillotte, but with aeration it certainly still gives much pleasure. I would be more cautious with respect to 750ml examples. Drink now-2017.  Tasted June 2014.",,RP 93
13,Prieure Roch,Vosne-Romanée Le Clos Goillotte,"The 1996 Vosne-Romanee Le Clos Goillotte is dominated by excessive brettanoymces on the nose that obscures any sense of terroir or fruit concentration. The palate seems ripe on the entry, but there is that distinct sweatiness that even for someone like myself who can abide brettanomyces, is just too much. Tasted May 2014.",,RP 93
14,Domaine Anne-Francoise Gros,Nuits-Saint-Georges 1er Cru Vieilles Vignes,"Prieuré-Roche's 2015 Nuits-Saint-Georges 1er Cru Vieilles Vignes is showing very well, bursting from the glass with a captivating bouquet of rose petals, peonies, cinnamon and raspberries. On the palate, the wine is medium to full-bodied, velvety and layered, its considerable endowment of fine tannin largely concealed by its ample core of succulent fruit, concluding with a long and precise finish.",,RP 93
