,producer_name,product_name,description,full_name,critic_score
0,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"The 2015 Chablis Grand Cru Les Clos is drinking with some generosity despite its youthful age, offering up aromas of bee pollen, clam liquor, waxy citrus and crisp stone fruit, followed by a medium to full-bodied, broad and muscular palate with an ample core of fruit framed by chalky structuring extract, concluding with a long, resonant finish.",2015 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
1,Domaine Dauvissat-Camus,Irancy,"Dauvissat's 2007 Irancy is drinking well, offering up aromas of dark berries, cherry pit and Agen prune, followed by a medium to full-bodied, deep and attractively chewy palate that's characterfully rustic, in a style typical of the appellation.",2007 Domaine Vincent Dauvissat Irancy,RP 95
2,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"The 2022 Chablis Grand Cru Les Preuses unwinds in the glass with aromas of oyster shell, orange blossom, warm stones and subtle hints of citrus oil—this cuvée is almost always more about rocks than fruit. Medium to full-bodied, satiny and electric, it's racy and tensile, with a long, resonant finish.",2022 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
3,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"Deeper-pitched than the ethereal Preuses, the 2022 Chablis Grand Cru Les Clos exhibits aromas of ripe citrus fruits, peach, white flowers, beeswax, nutmeg and clam broth. Full-bodied, satiny and enveloping, it's textural and layered, with a deep and muscular core, concluding with a long, expansive finish.",2022 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
4,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"A brilliant wine in the making, Dauvissat's 2022 Chablis 1er Cru La Forest unfurls in the glass with youthfully reductive scents of citrus oil, crisp stone fruit, white flowers, oyster shell and subtle hints of orange blossom. Medium to full-bodied, satiny and incisive, with superb depth at the core and an electric finish, this cuvée has navigated the vintage's extremes with ease.",2022 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
5,Domaine Dauvissat-Camus,Chablis 1er Cru Séchet,"The 2022 Chablis 1er Cru Séchet unwinds in the glass with aromas of crisp stone fruits, ripe lemons, white flowers, clear honey and subtle hints of warm spices. Medium to full-bodied, cool and satiny, the vintage has lent this a gracious charm that isn't always typical of young Séchet, but the wine's searingly mineral signature remains front and center.",2022 Domaine Vincent Dauvissat Chablis 1er Cru Séchet,RP 95
6,Domaine Dauvissat-Camus,Chablis 1er Cru Vaillons,"Bursting with notes of white flowers, orange zest, nutmeg and iodine, the 2022 Chablis 1er Cru Vaillons is medium to full-bodied, ample and fleshy, with bright acids and a long, expansive and perfumed finish. As ever, its expressive, charming style makes it something of the more-mineral Séchet's alter ego.",2022 Domaine Vincent Dauvissat Chablis 1er Cru Vaillons,RP 95
7,Domaine Dauvissat-Camus,Chablis 1er Cru Montée de Tonnerre,"Aromas of pear, Myer lemon, green apple, clam liquor and white flowers preface Dauvissat's 2022 Chablis 1er Cru Montée de Tonnerre, a medium to full-bodied, ample and satiny wine with a textural attack that segues into a bright, mineral mid-palate, concluding with a saline finish.",2022 Domaine Vincent Dauvissat Chablis 1er Cru Montée de Tonnerre,RP 95
8,Domaine Dauvissat-Camus,Chablis,"The 2022 Chablis exhibits scents of white peach, oyster shell and white flowers mingled with subtle hints of nutmeg and youthful reduction. Medium to full-bodied, satiny and incisive, it's concentrated and racy, concluding with a long, precise finish.",2022 Domaine Vincent Dauvissat Chablis,RP 95
9,Domaine Dauvissat-Camus,Petit Chablis,"Exhibiting aromas of sweet stone and orchard fruit mingled with lemon oil and clay liquor, Dauvissat's 2022 Petit Chablis is medium-bodied, ample and fleshy, with lively acids and a mouthwateringly mineral finish.",2022 Domaine Vincent Dauvissat Petit Chablis,RP 95
10,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"The 2021 Chablis Grand Cru Les Preuses is bright and aromatic, bursting with notes of white flowers, crisp orchard fruit, nutmeg, iodine, clear honey and oyster shell. Medium to full-bodied, racy and incisive, with a charming core of expressive fruit and a long, perfumed finish, this is already quite open out of the gates for a young Dauvissat Preuses in a cooler vintage.",2021 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
11,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"The 2021 Chablis 1er Cru La Forest is a young classic, mingling scents of sweet citrus oil and peach with notions of white flowers, struck match, bee pollen and youthful reduction in an incipiently complex bouquet. Medium to full-bodied, fleshy and textural, it's concentrated, taut and incisive, with a long, mineral finish.",2021 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
12,Domaine Dauvissat-Camus,Petit Chablis,"Aromas of white flowers, orange oil, clear honey and oyster shell introduce the 2021 Petit Chablis, a medium-bodied, taut and chiseled wine with a tangy spine of acidity and a mineral finish that will delight Chablis purists.",2021 Domaine Vincent Dauvissat Petit Chablis,RP 95
13,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"I generally have a slight preference for Dauvissat's Les Preuses, a preference I suspect Vincent Dauvissat shares, but the 2020 Chablis Grand Cru Les Clos, at least at this early stage, gets my nod as the king of the cellar—and the wine of the vintage. Wafting from the glass with aromas of citrus oil, fresh bread, oyster shell, white flowers and wet stones, it's full-bodied, layered and textural, with huge concentration, racy acids and a long, resonant finish.",2020 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
14,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"Offering up aromas of orange oil, white peach, jasmine, oyster shell, wet stones and struck flint, the 2020 Chablis Grand Cru Les Preuses is full-bodied, ample and layered, with terrific concentration, racy acids and a long, intensely mineral finish. As ever, this wine is more floral-mineral than it is fruity, standing out for its ethereal personality in contradistinction with the blockier, more muscular Les Clos.",2020 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
15,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"A striking young wine, Dauvissat's brilliant 2020 Chablis 1er Cru La Forest unfurls in the glass with aromas of crisp orchard fruit, orange oil, pear, oyster shell, freshly baked bread and smoke, framed by a deft touch of reduction. Medium to full-bodied, deep and multidimensional, it's taut and concentrated, with racy acids, chalky structuring and a long, searingly mineral finish. Recent years have delivered so many brilliant renditions of La Forest that it's hard to pick a favorite between the likes of 2008, 2014, 2017 and 2019, but the 2020 is certainly a worthy entrant into the competition, and it's worth a special effort to seek out.",2020 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
16,Domaine Dauvissat-Camus,Chablis 1er Cru Séchet,"The 2020 Chablis 1er Cru Séchet is brilliant, mingling aromas of crisp green apple and lemon oil with notions of oyster shell, freshly baked bread, white flowers and wet stones. Medium to full-bodied, ample and satiny, it's racy and tensile, with tangy acids and a long, searingly mineral finish.",2020 Domaine Vincent Dauvissat Chablis 1er Cru Séchet,RP 95
17,Domaine Dauvissat-Camus,Chablis 1er Cru Vaillons,"As is almost invariably the case, Dauvissat's 2020 Chablis 1er Cru Vaillons is sensual and perfumed, wafting from the glass with aromas of orange oil, peach, jasmine and nutmeg. Medium to full-bodied, satiny and enveloping, it's vibrant and fleshy, with an ample core of fruit, racy acids and a long, saline finish.",2020 Domaine Vincent Dauvissat Chablis 1er Cru Vaillons,RP 95
18,Domaine Dauvissat-Camus,Chablis 1er Cru Montée de Tonnerre,"The seventh and greatest vintage from this vineyard that Dauvissat has produced to date, the 2020 Chablis 1er Cru Montée de Tonnerre unwinds in the glass with notions of peach, crisp orchard fruit, white flowers, freshly baked bread and nutmeg. Medium to full-bodied, satiny and multidimensional, it's deep and complete, with racy acids, chalky grip and a long, penetrating finish.",2020 Domaine Vincent Dauvissat Chablis 1er Cru Montée de Tonnerre,RP 95
19,Domaine Dauvissat-Camus,Chablis,"Dauvissat's 2020 Chablis bursts with aromas of crisp green apple, white flowers, wet stones, oyster shell and struck match. Medium to full-bodied, taut and racy, it's deep and incisive, with impeccable Chablisien credentials and a long, intensely mineral finish. As usual, it's the reference point for the appellation.",2020 Domaine Vincent Dauvissat Chablis,RP 95
20,Domaine Dauvissat-Camus,Petit Chablis,"Brimming with character and complexity, Dauvissat's 2020 Petit Chablis transcends its humble appellation. Offering up aromas of crisp green apple, citrus zest, oyster shell and mandarin orange, it's medium to full-bodied, taut and chiseled, with racy acids and a pungently saline finish.",2020 Domaine Vincent Dauvissat Petit Chablis,RP 95
21,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"Vincent Dauvissat's 2004 Chablis Grand Cru Les Clos is evolving very slowly, unwinding in the glass with notes of citrus oil, beeswax, iodine and crisp orchard fruit. Full-bodied, layered and vibrant, with chalky structure and racy acids, it's still a few years from real maturity.",2004 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
22,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"The 2019 Chablis Grand Cru Les Clos is, if anything, more introverted than Les Preuses this year. Mingling notes of citrus oil, pear and crisp stone fruit with hints of fresh bread, vanilla pod and wet stones, it's full-bodied, layered and muscular, with huge concentration, framed by chalky extract and lively acids. Concluding with a long, saline finish, it will require considerable patience.",2019 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
23,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"The 2019 Chablis Grand Cru Les Preuses is brilliant, unwinding in the glass with notes of oyster shell, orange blossom, iodine, wet stones and freshly baked bread. Full-bodied, deep and tightly wound, with racy acids, chalky structuring extract and an incredibly intense, pungently saline finish, this is a magical young wine from Dauvissat.",2019 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
24,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"The 2019 Chablis 1er Cru La Forest is the deepest and most complete of Dauvissat's premiers crus, delivering a complex bouquet of orange oil, pear and fresh bread complemented by top notes of iodine, dried white flowers and beeswax. Medium to full-bodied, satiny and enveloping, it's layered and concentrated, with superb mid-palate volume, lively acids and a long, electric finish.",2019 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
25,Domaine Dauvissat-Camus,Chablis 1er Cru Séchet,"The 2019 Chablis 1er Cru Séchet opens in the glass with scents of citrus oil, white flowers, beeswax, oyster shell, wet chalk and mandarin. Medium to full-bodied, satiny and strikingly intense, it's taut and chiseled, with tangy acids and huge reserves of concentration, concluding with a pungently chalky finish. As I've written before, Séchet—where Dauvissat owns a 0.8-hectare parcel—is located in the Vaillons Valley, but its windier situation and soils richer in active limestone mean it's typically more tensile and incisive than the other climats that make up Vaillons.",2019 Domaine Vincent Dauvissat Chablis 1er Cru Séchet,RP 95
26,Domaine Dauvissat-Camus,Chablis 1er Cru Montée de Tonnerre,"The 2019 Chablis 1er Cru Montée de Tonnerre is the sixth vintage that Dauvissat has produced of this climat, and he observes that it's one of the few parcels he exploits that isn't planted with the family's proprietary massale selections. Exhibiting notions of citrus oil, fresh bread, iodine and warm pastry, it's medium to full-bodied, ample and lively, with fine tension at the core and a long, mineral finish. It's the most approachable while young of these premiers crus.",2019 Domaine Vincent Dauvissat Chablis 1er Cru Montée de Tonnerre,RP 95
27,Domaine Dauvissat-Camus,Chablis 1er Cru Vaillons,"The 2019 Chablis 1er Cru Vaillons is one of the more expressive wines in the range at this early stage, wafting from the glass with notes of lime zest, crisp stone fruit, freshly baked bread and subtle hints of nutmeg. Medium to full-bodied, satiny and precise, it's a lively, penetrating wine that will offer a broad drinking window. The Vaillons comes from holdings where the soils are deeper than in Séchet, and that shows in greater textural plentitude.",2019 Domaine Vincent Dauvissat Chablis 1er Cru Vaillons,RP 95
28,Domaine Dauvissat-Camus,Chablis,"Introducing the 2019 Chablis are aromas of beeswax, dried white flowers and oyster shell dominating youthfully discreet notions of citrus oil and fresh bread in an already complex bouquet. A medium to full-bodied, satiny and enveloping wine, this is fleshier and more textural than its Petit Chablis counterpart—though it's just as chiseled—concluding with a long, saline finish.",2019 Domaine Vincent Dauvissat Chablis,RP 95
29,Domaine Dauvissat-Camus,Petit Chablis,"The 2019 Petit Chablis has turned out brilliantly, wafting from the glass with aromas of citrus oil and white flowers, mingled with classically Chablisien hints of oyster jus and Parmesan cheese rind. Medium to full-bodied, satiny and incisive, it's deep and unusually concentrated, with tangy acids and a long, intensely saline finish. As usual, it's ""Petit"" in name only, surpassing many other producers' grandest bottlings.",2019 Domaine Vincent Dauvissat Petit Chablis,RP 95
30,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"Aromas of pear, green apple and citrus oil mingling with hints of fresh bread and oyster shell introduce Dauvissat's 2018 Chablis Grand Cru Les Clos, a full-bodied, layered wine that's ample and elegantly muscular, girdled by bright acids and revealing more overt structure than Les Preuses at this stage. Concluding with a long, chalky finish, even in the demonstrative 2018 vintage, this will merit a bit of patience.",2018 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
31,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"The 2018 Chablis Grand Cru Les Preuses has turned out brilliantly, delivering notes of orange oil, crisp orchard fruit, iodine, white flowers and oyster shell, followed by a full-bodied, ample and enveloping palate that's racy and saline, concluding with a long, electric finish. This is rather open for a young Dauvissat Preuses; and while it should, all things being equal, enjoy a long life, it will be less of a crime than usual to open a bottle or two young.",2018 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
32,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"While much commercial Chablis is utterly predictable, Vincent Dauvissat's old-fashioned, artisanal wines are anything but: their phases of evolution and the way they respond to oxygen are unlike almost anything else in the region. The 2005 Chablis 1er Cru La Forest proves that point perfectly. On opening, mature aromas of honeycomb and marzipan suggest the wine might be tiring, but the longer the bottle is open, the younger the wine seems, its bouquet segueing into a mélange of citrus oil, dried white flowers and oyster shell, relegating those notions of honeycomb and marzipan to the background. On the palate, the wine is medium to full-bodied, satiny and enveloping, with a powerful, layered core that's structured around notable dry extract and ripe but tangy acids, concluding with a long, beautifully defined finish. As the wine ages, it is more marked by producer and vineyard than it is by its vintage signature, which is another recurring theme when tasting Dauvissat's wines.",2005 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
33,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"Drunk from magnum, Vincent Dauvissat's 1997 Chablis Grand Cru Les Clos put on a stunning showing, and clearly ranks as one of the true sleeper vintages for this great estate. Bright and lively in hue, the wine unfurls in the glass with a classic bouquet of citrus oil, oyster shells, dried orange peal, oatmeal and gentle leesiness that's still youthful, with little of the mushroomy, honeyed qualities that typically characterize mature Chablis. On the palate, it's full-bodied, broad and muscular, with a deep, layered mid-palate, ripe but racy acids and plenty of chewy extract, concluding with a long, beautifully defined finish. While the 1997 is not as searingly incisive as the more famous 1996, it is less of a high-wire act and may prove the better balanced wine in the long term. While this magnum in the town of Chablis was still youthful, I suspect 750-milliliter bottles in export markets are fully mature, and there's no reason not to open bottles.",1997 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
34,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"This bottle of Vincent Dauvissat's 1996 Chablis 1er Cru La Forest was the finest I have ever encountered and fully realized the immense but seldom actualized potential of the vintage, wafting from the glass with a complex bouquet of Meyer lemon, oyster shell, oatmeal, dried white flowers and subtle top notes of honeycomb and smoke. On the palate, the wine is full-bodied and broad but immensely incisive, its satiny attack segueing immediately into a deep and concentrated mid-palate that's built around a searingly racy spine of acidity, concluding with a strikingly long, penetrating and sapid finish. Most remarkably, the longer the 1996 Forest sits in the glass, the younger it seems! While this vintage is plagued by bottle variation, premature oxidation and cork issues throughout Burgundy, there are few finer things in the world of wine than a pristine bottle of the 1996 Chablis 1er Cru La Forest. Having burnt through numerous flawed bottles of this very wine, I feel compelled to attach a point of interrogation to this lavish score, but the rating reflects my experience on this occasion.",1996 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
35,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"From a bottle that had never left the village, Dauvissat's 1989 Chablis Grand Cru Les Preuses is extraordinary, blossoming in the glass with notes of buttered lemon, confit orange, oatmeal, dried white flowers, beeswax and warm straw. Full-bodied, deep and multidimensional, it's a layered, textural wine that's elegantly muscular, marrying a ripe and concentrated expression of fruit with a powerful mineral undertow. Long and saline, this is one of the finest mature Chablis that I have tasted.",1989 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
36,Domaine Dauvissat-Camus,Chablis 1er Cru Séchet,"The 1976 Chablis 1er Cru Séchet put on a stunning performance, far surpassing my comparatively conservative expectations for a vintage that is seldom notably exciting in white Burgundy. Wafting from the glass with aromas of tangerine, yellow apple, oatmeal, fresh field mushrooms and clear honey, it's medium to full-bodied, elegantly textural and incisive, with a concentrated, chiseled core and a long, mineral finish. It was so good that I accounted for the better part of the bottle myself while my friends were distracted by a two-year-old Meursault Perrières.",1976 Domaine Vincent Dauvissat Chablis 1er Cru Séchet,RP 95
37,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"The 2018 Chablis 1er Cru La Forest is also showing well, opening in the glass with aromas of crisp green orchard fruit, citrus oil, beeswax, honeycomb and oyster shell. Medium to full-bodied, layered and textural, it's fleshy and enveloping, with a lovely spine of acidity and a long, saline finish. Like the Vaillons, this is quite demonstrative for a young Dauvissat Forest, and it will deliver considerable pleasure straight out of the gates.",2018 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
38,Domaine Dauvissat-Camus,Chablis 1er Cru Vaillons,"Wafting from the glass with aromas of golden orchard fruit, honey comb, confit citrus, oatmeal and crisp green apple, Dauvissat's 2018 Chablis 1er Cru Vaillons is medium to full-bodied, ample and fleshy, with a generous core of fruit, lively acids, and a long, saline finish. This is an unusually demonstrative, fruit-driven Vaillons from Dauvissat, though it does retain plenty of Chablisien character.",2018 Domaine Vincent Dauvissat Chablis 1er Cru Vaillons,RP 95
39,Domaine Dauvissat-Camus,Chablis,"The 2018 Chablis is showing very well, offering up a pretty bouquet of citrus oil, crisp orchard fruit, oatmeal and beeswax. On the palate, it's medium to full-bodied, elegantly textural and charming, built around ripe but lively acids and concluding with a delicately saline finish. Unusually youthfully charming and open-knit for a Dauvissat Chablis, while remaining very true to the appellation and the domaine's style, this will drink well comparatively young.",2018 Domaine Vincent Dauvissat Chablis,RP 95
40,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"Vincent Dauvissat's 2017 Chablis Grand Cru Les Preuses is extraordinary, blossoming in the glass with aromas of orange blossom, smoky oyster shell and wet stones, followed by a full-bodied, satiny and searingly chalky palate that's strikingly multidimensional, pure and precise, with a bright spine of acidity and a long, resonating finish. From barrel, I described this wine as the ""essence of rocks,"" and from bottle, I wrote exactly the same words.",2017 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
41,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"More muscular and enveloping than the Preuses, Dauvissat's 2017 Chablis Grand Cru Les Clos unfurls in the glass with aromas of ripe lemons, confit citrus, pastry cream and dried white flowers. On the palate, it's full-bodied, satiny and multidimensional, with a rich, structured but incisive profile and a long, chalky finish. If Les Preuses is the more intellectual of the two grand cru bottlings, Les Clos is the more direct and easy to understand.",2017 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
42,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"A brilliant rendition of Vincent Dauvissat's emblematic premier cru, the 2017 Chablis 1er Cru La Forest reveals a complex bouquet of oyster shell, crisp green apple and lemon oil mingled with notes of dried white flowers and freshly baked bread. On the palate, the wine is medium to full-bodied, satiny and complete, with a deep and concentrated core, striking energy and cut and a long, mineral finish. Amounting to some 4.5 hectares, La Forest accounts for a third of the domaine's surface area, so it will be the easiest Dauvissat wine for readers to find. Happily, it ranks alongside the 2014 and 2008 as one of the very best of recent years.",2017 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 95
43,Domaine Dauvissat-Camus,Chablis 1er Cru Séchet,"A bottling that regularly excels chez Dauvissat, the 2017 Chablis 1er Cru Séchet opens in the glass with delicate aromas of citrus peel, grapefruit, crisp green apples and white flowers, with only subtle hints of the oyster shell to come. On the palate, it's medium to full-bodied, satiny and concentrated, with a deep and tight-knit core, striking tension and a searingly mineral finish. Séchet—where Dauvissat owns a 0.8-hectare parcel—is located in the Vaillons Valley, but its windier situation and soils richer in active limestone mean it's typically much chalkier and more tensile than the other climats that make up Vaillons.",2017 Domaine Vincent Dauvissat Chablis 1er Cru Séchet,RP 95
44,Domaine Dauvissat-Camus,Chablis 1er Cru Montée de Tonnerre,"The 2017 Chablis 1er Cru Montée de Tonnerre is a bottling that debuted in 2013, and the Dauvissat family lost some 25% of their crop to hail this year. Unfurling in the glass with notes of honeyed peaches, crisp green apples, citrus oil and pastry cream, the wine is medium to full-bodied, ample and satiny, with a layered core that's more structured and tighter-knit than the Vaillons that preceded it, concluding with a chalky finish.",2017 Domaine Vincent Dauvissat Chablis 1er Cru Montée de Tonnerre,RP 95
45,Domaine Dauvissat-Camus,Chablis 1er Cru Vaillons,"Aromas of fresh peach, white flowers and mint introduce the 2017 Chablis 1er Cru Vaillons, the most expressive and outgoing wine in Dauvissat's 2017 collection. On the palate, it's medium to full-bodied, satiny and supple, with an elegantly textural attack, a layered core and a saline finish. If any readers intend to drink their Dauvissat premiers crus in the flush of youth, this is the bottling they should seek out.",2017 Domaine Vincent Dauvissat Chablis 1er Cru Vaillons,RP 95
46,Domaine Dauvissat-Camus,Chablis,"The 2017 Chablis is simply superb and about as fine an example of the appellation as it's possible to find. Offering up aromas of white currants, citrus oil, spring flowers and oyster shell, it's medium to full-bodied, satiny and layered, with superb concentration and cut, concluding with a long and lingering finish. Dauvissat explained that most of the vines that produce this cuvée face his holdings in La Fôret.",2017 Domaine Vincent Dauvissat Chablis,RP 95
47,Domaine Dauvissat-Camus,Petit Chablis,"Readers who neglect Vincent Dauvissat's 2017 Petit Chablis in favor of his grander appellations will be doing themselves a disservice, as this is a brilliant, characterful wine with an established track record of evolving gracefully for the better part of two decades. Unfurling in the glass with scents of lemon oil, white flowers and crushed chalk, it's medium to full-bodied, ample and layered, with a bright spine of acidity and a precise finish. Dauvissat observed that, unusually, all his appellations attained the same maturity levels in 2017, so the Petit Chablis has the same alcohol level as his two grand cru bottlings.",2017 Domaine Vincent Dauvissat Petit Chablis,RP 95
48,Domaine Dauvissat-Camus,Chablis Grand Cru Les Clos,"From bottle, the 2016 Chablis Grand Cru Les Clos is more immediately expressive than the Preuses, revealing aromas of honeyed lemons, preserved citrus and quince. On the palate, it's fuller-bodied, deep and ample, even rich, with a layered core, succulent acids and almost chewy levels of extract, concluding with a long finish. It's a very serious Les Clos that could well be the wine of the vintage.",2016 Domaine Vincent Dauvissat Chablis Grand Cru Les Clos,RP 95
49,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"From bottle, the 2016 Chablis Grand Cru Les Preuses is the most reticent wine in the cellar, unfurling slowly with aromas of orange blossom, oatmeal, wet stones and honeycomb. On the palate, it's full-bodied, tense and stony, with excellent depth and dimension. It's not as lively or intense as the 2017 rendition, but it's a very serious wine that will demand some bottle age before it reveals all its plenitude.",2016 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 95
50,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"The 2016 Chablis 1er Cru La Forest is superb, wafting from the glass with aromas of Meyer lemon, iodine and wet stones. On the palate, it's medium to full-bodied, deep and pure, with satiny textural gloss, excellent concentration and a beautifully delineated finish. I suspect this will be a comparatively precocious rendition of the Dauvissat Forest, but it's a beautiful wine.",2016 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 93
51,Domaine Dauvissat-Camus,Chablis 1er Cru Séchet,"The 2016 Chablis 1er Cru Séchet is one of the high points of the range chez Dauvissat this year, unfurling in the glass with notes of lemon oil, caramelized citrus rind, dried white flowers and smoky reduction. On the palate, it's medium to full-bodied, concentrated and layered, with chewy extract and an intensely mineral, chalky quality. It's structurally quite tight-knit and will demand some time.",2016 Domaine Vincent Dauvissat Chablis 1er Cru Séchet,RP 93
52,Domaine Dauvissat-Camus,Chablis 1er Cru Vaillons,"The 2016 Chablis 1er Cru Vaillons hails from a parcel that's a mere 400 meters away from the domaine's holdings in Séchet, yet the wines are worlds apart. The Vaillons exhibits a muskier bouquet of orange blossom, peach and honeycomb, followed by a medium to full-bodied, pure and textural palate that's expansive and open-knit. It's more immediately charming, while the tighter-knit Séchet will need more time.",2016 Domaine Vincent Dauvissat Chablis 1er Cru Vaillons,RP 93
53,Domaine Dauvissat-Camus,Chablis 1er Cru Montée de Tonnerre,"Notes of lemon oil, pastry cream, oystershell and blanched almonds introduce the 2016 Chablis 1er Cru Montée de Tonnerre, a fine-boned, medium-bodied wine with good tension and cut but which lacks the depth and concentration found in the Vaillons and Séchet this year.",2016 Domaine Vincent Dauvissat Chablis 1er Cru Montée de Tonnerre,RP 93
54,Domaine Dauvissat-Camus,Chablis,"The 2016 Chablis Villages is very good, unfurling in the glass with aromas of honey, preserved citrus, oatmeal, oystershell and subtly smoky reduction. On the palate, it's medium to full-bodied, satiny and textural, with tangy acids. It's not as pure and incisive as the greatest Dauvissat vintages, but it would be difficult to find a better Chablis AOC bottling in 2016.",2016 Domaine Vincent Dauvissat Chablis,RP 93
55,Domaine Dauvissat-Camus,Petit Chablis,"The 2016 Petit Chablis is an impressive achievement in a challenging vintage, offering up notes of green apple, iodine and honey. On the palate, it's medium-bodied and more gourmand than the 2017 rendition, with more flesh on its bones and less cut and tension, concluding with a saline finish.",2016 Domaine Vincent Dauvissat Petit Chablis,RP 93
56,Domaine Dauvissat-Camus,Chablis 1er Cru La Forest,"From barrel and from bottle, the 2014 Chablis 1er Cru La Forest struck me as the best rendition of this bottling I had ever tasted, and it enjoyed a brief window of accessibility for six to eight months after it was released. Today, however, the wine has shut down hard, unfurling reluctantly in the glass with a reticent but immensely promising bouquet of salty oystershells, green apple, lemon oil and dried white flowers. On the palate, it's medium to full-bodied, elegantly textural and racy, with a deep but tight-knit core, tangy balancing acids and a long, searingly saline, mineral finish. To give close Dauvissat followers an idea of the wine's style and structure, this Forest combines the harmony and completeness of the 2002 vintage with some of the cut and salinity of the 2008 vintage—an undeniably winning combination. It should come into its own at age ten and drink well for the following two decades.",2014 Domaine Vincent Dauvissat Chablis 1er Cru La Forest,RP 93
57,Domaine Dauvissat-Camus,Chablis Grand Cru Les Preuses,"Surprisingly, the 2011 Chablis Grand Cru Les Preuses is somewhat more supple and open-knit than the corresponding La Forest, offering up pretty aromas of orange blossom, citrus zest, oystershell, iodine and pastry cream. On the palate, it's medium to full-bodied, elegantly glossy and delicate, with a tangy, saline profile and a detailed finish. This is a precocious Preuses that's already approachable.",2011 Domaine Vincent Dauvissat Chablis Grand Cru Les Preuses,RP 93
