,producer_name,product_name,description,full_name,critic_score
0,Keller,Riesling G-Max,"The most recent release of this iconic wine is the 2022 Riesling G-Max, which I gave a score of 95+ last year in the summer when I tasted it for the first time in the context of Keller's 2022 Rieslings, when the wine showed up as a concentrated and intense yet still reductive purist. Six months later, not much has changed. The nose is dense, enormously aromatic and fruity and intermingles with yeasty and salty notes. Dense, round and juicy on the palate, with generous, accessible fruit but also a fine, mineral acid structure, this is again a rather slender, elegant and perhaps less dramatic G-Max compared to the 2021 or 2019. It already dries pretty well this young but will reveal its true character only over the next 10 or more years. The wine will be available in May 2024 (for those who are lucky enough to get a bottle or two). Whether it really has the substance and class of the last 10 vintages remains to be seen. Tasted blind as wine number 22 of the G-Max vertical at Steinheuer's Restaurant Zur Alten Post in Bad Neuenahr-Ahrweiler, January 2024.",2022 Weingut Keller Riesling G-Max,RP 95+
1,Keller,Riesling G-Max,"The 2021 Riesling G-Max is another highlight of the history of this mysterious wine. Cool, citrusy, taut and fresh on the nose, with rocky notes and a concentrated but elegant Riesling and yellow stone fruit aroma, this is a juicy, zesty and taut dry Riesling form a coolish and rainier vegetation period. The wine reveals a concentrated core and well-integrated mineral acidity. The 2021 is slender, very fine and enormously animating G-Max that I tasted blind as wine number 21 of the G-Max vertical at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2021 Weingut Keller Riesling G-Max,RP 95+
2,Keller,Riesling G-Max,"Served blind as wine number 18 and right after the 2018 in the G-Max vertical tasting in Germany, Keller's 2020 Riesling G-Max is very clear, fresh, puristic, firm and concentrated on the nose, with aromas of salted lemons and phenolic notes. Very elegant and defined on the palate, this is a full-bodied, dense, salty but also elegant and even delicate and pure Riesling that develops a great, very long finish. This is a classical G-Max like the 2012 that should gain in expression and finesse over the coming years. Tasted at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2020 Weingut Keller Riesling G-Max,RP 95+
3,Keller,Riesling G-Max,"In this context (20+ years of G-Max) and tasted blind as wine number 20, the still embryonic 2019 Riesling G-Max shows clear, bright, fine and elegant Riesling fruit in a classic style with saline notes in the background. Dense, saline and spicy yet also juicy on the palate but without any hint of mass or power, the 2019 already sings, plays and laughs, yet it also reveals plenty of tension. It is a true classic with unusual finesse for the G-Max and possibly the beginning of a new style with more purity, finesse and precision? Tasted at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2019 Weingut Keller Riesling G-Max,RP 95+
4,Keller,Riesling G-Max,"From a vintage with a very warm and extremely dry summer, Keller's 2018 Riesling G-Max is clear, very dense and slightly phenolic on the nose that quotes citrus notes and ripe, concentrated stone fruit aromas. Juicy and very dense or even massive in its firm structure but also provided with fine mineral acidity, the 2018 G-Max develops an enormously salty, long-lasting finish but remains an embryonic dry Riesling with the structure of a Clos-Ste-Hune from Trimbach and probably also its life expectancy. Tasted blind as wine number 17 of the Keller vertical, right after the 2016 vintage at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2018 Weingut Keller Riesling G-Max,RP 95+
5,Keller,Riesling G-Max,"Keller's 2017 Riesling G-Max shows a clear nose with ripe, concentrated fruit and saline notes of crushed rocks and already indicates a fine tannin quality. Elegant and juicy on the palate, this is a very dense and firmly structured dry Riesling with concentrated fruit and a still somewhat phenolic structure that is even astringent on the finish. It has a currently slightly untamed character that is reminiscent of game. It is still inaccessible but a promising G-Max with power and structure that needs a lot of patience (or another decade in the bottle). Tasted blind as wine number 19 in this historic G-Max vertical at Steinheuer's Restaurant Zur Alten Post in Bad Neuenahr-Ahrweiler, January 2024.",2017 Weingut Keller Riesling G-Max,RP 95+
6,Keller,Riesling G-Max,"The 2016 Riesling G-Max opens with an enormously wild nose with untamed notes and tobacco aromas as well as intense, dense and fleshy fruit that intermingles with iodine notes. Rich and elegant on the first palate, the 2016 quickly turns to a younger, slimmer and fresher Riesling and becomes taut, firm and salty toward the finish. From a vintage that saw an extremely wet spring but a dry and hot summer, the 2016 develops very good length and intensity but is still a young wine that shall better be forgotten for a while. Tasted blind as wine number 16 of the G-Max vertical at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2016 Weingut Keller Riesling G-Max,RP 95+
7,Keller,Riesling G-Max,"Served blind and following the 2013 and 2014 vintages, the 2015 Riesling G-Max is clear, elegant, quite cool, tart and stony on the nose that is reminiscent of apricots, crushed rocks and salts. Rich and juicy as well as fresh, spicy and salty on the palate, the 2015 G-Max develops great length and reveals a classic expression, combining its intense fruit with a firm structure and persistent saltiness. This dry Riesling from very old vines remains on the palate for a very long time and still has superb aging potential. After 2002 and 2003, the 2015 is another stellar vintage for Keller's G-Max and is still very young. Tasted blind as wine number 15 of the G-Max vertical at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2015 Weingut Keller Riesling G-Max,RP 95+
8,Keller,Riesling G-Max,"Served blind as the 14th wine of the vertical and right after the 2013 vintage, Keller's 2014 Riesling G-Max opens with a clean, fine and rather classic nose with ripe, cooked and concentrated fruit aromas with phenolic spice. Slightly untamed and animal on the palate, this is a taut, fresh, persistently salty, straightforward and enormously mineral as well as elegant G-Max with great and complex length. This is more than just a remarkable Riesling for this difficult vintage when, after a warm summer, rainfalls caused a stop-and-go harvest in many German wine regions. Tasted at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2014 Weingut Keller Riesling G-Max,RP 95+
9,Keller,Riesling G-Max,"Keller's 2013 Riesling G-Max opens with a cool, very clear, pure and stony nose with light stone fruit aromas intertwined with almost smoky notes. Rich, dense and intense on the palate, this is an almost powerful but also enormously salty and still youthful dry Riesling that is still somewhat loud and overwhelming to the senses but should further refine over the coming years (or with sufficient aeration). The 2013 is still evolving, even more than 10 years after the fermentation. Tasted at Steinheuer's Restaurant Zur Alten Post, Bad Neuenahr-Ahrweiler, in January 2024.",2013 Weingut Keller Riesling G-Max,RP 95+
